Method,MSD
Raw Data,0.004849883752866673
Bayesian,0.004496067521454312
Bayesian Multi,0.004532571173738582
MA-3,0.019516932152365666
MA-5,0.02590571541158911
MA-7,0.030715098106065156
MA-15,0.04476754213470896
MA-50,0.08288111854325318
MA-75,0.10305032707685459
MA-100,0.11945462440216457
MA-150,0.14476092961426673
MA-1000,0.35051365527874806
Raw Data,0.0050721586753184325
Bayesian,0.004711186402460728
Bayesian Multi,0.004741257318268148
MA-3,0.019917519336955194
MA-5,0.02645784718019966
MA-7,0.03134378915190806
MA-15,0.04615481184235939
MA-50,0.08488286105371776
MA-75,0.10384730088865092
MA-100,0.12172386568268427
MA-150,0.15198009791995631
MA-1000,0.3742208852000056
Raw Data,0.004868797564602798
Bayesian,0.004584400627577113
Bayesian Multi,0.00456723694105113
MA-3,0.015970470434685326
MA-5,0.0211535483349521
MA-7,0.024976150901343887
MA-15,0.03642298964815902
MA-50,0.06876822759348605
MA-75,0.08348658102426519
MA-100,0.09647979517388579
MA-150,0.11930543310470239
MA-1000,0.2832894628142157
Raw Data,0.005169612183507635
Bayesian,0.004789225475267392
Bayesian Multi,0.0047943032064610555
MA-3,0.01924885823906136
MA-5,0.025850643493663818
MA-7,0.03072863404581408
MA-15,0.044707858784217104
MA-50,0.08432204903692017
MA-75,0.10416323138677103
MA-100,0.12142429475113904
MA-150,0.14701710468458898
MA-1000,0.3034345313105865
Raw Data,0.005000846074603063
Bayesian,0.0045905614745266315
Bayesian Multi,0.004613746922760851
MA-3,0.01467922979246236
MA-5,0.01946463678984733
MA-7,0.02304411565622065
MA-15,0.03448776810496579
MA-50,0.06278397022228152
MA-75,0.0748577460404877
MA-100,0.084677660676318
MA-150,0.10498969326179569
MA-1000,0.2561880600326139
Raw Data,0.00511310369768149
Bayesian,0.004785040391590341
Bayesian Multi,0.004795570610724453
MA-3,0.01339879536216134
MA-5,0.017675743661129544
MA-7,0.021063144765741917
MA-15,0.02973708785764021
MA-50,0.0551128438627547
MA-75,0.06826481193619686
MA-100,0.08157184166091747
MA-150,0.10263044426348772
MA-1000,0.250509870193124
Raw Data,0.004954782786476684
Bayesian,0.004632738993761905
Bayesian Multi,0.004691745991013293
MA-3,0.016339732325515468
MA-5,0.021353535493827756
MA-7,0.02528214169369402
MA-15,0.036786921472946106
MA-50,0.06736294147469295
MA-75,0.08257279281488007
MA-100,0.09321982057447391
MA-150,0.11077107529700014
MA-1000,0.29578973433138483
Raw Data,0.005042507862639586
Bayesian,0.004780977547530877
Bayesian Multi,0.004665775999166099
MA-3,0.021416885911312866
MA-5,0.028257787656033977
MA-7,0.03370632689333806
MA-15,0.04961322480069255
MA-50,0.09437552838834254
MA-75,0.11430867780940777
MA-100,0.13086414531859356
MA-150,0.15780659456209534
MA-1000,0.36491403356119717
Raw Data,0.004952652343369815
Bayesian,0.004511472204983859
Bayesian Multi,0.004539885712572746
MA-3,0.017541833731084224
MA-5,0.023563919176674074
MA-7,0.028031919018326718
MA-15,0.04088134504598417
MA-50,0.07681068138600894
MA-75,0.09355821638538277
MA-100,0.10711343886598168
MA-150,0.12841240343349922
MA-1000,0.28957784809058545
Raw Data,0.0050441781897518035
Bayesian,0.004668361019130722
Bayesian Multi,0.004604647511103934
MA-3,0.017927336558068087
MA-5,0.02407942899465532
MA-7,0.028855867046204173
MA-15,0.04251117719481191
MA-50,0.07230394314682682
MA-75,0.08723833945513933
MA-100,0.10213790655050953
MA-150,0.12436207769730576
MA-1000,0.3282693971901824
